published_date,title,domain
2020-04-28 01:17:43,"Duterte approves hiring of additional workers for FDA, DOST",untvweb.com
2020-04-28 17:45:03,Ethiopian Airlines is cleverly adapting to survive Covid-19,capetalk.co.za
2020-04-29 10:58:57,Ethiopian Airlines is cleverly adapting to survive Covid-19,702.co.za
2020-04-30 13:27:23,DOLE readies 1M jobs under post-COVID-19 recovery plan,untvweb.com
2020-05-03 03:27:33,DOLE releases cash aid to around 86k OFWs,untvweb.com
2020-05-05 11:47:04,NTC orders ABS-CBN to cease operations due to expired franchise,untvweb.com
2020-05-07 10:33:26,Omusati farmers lose harvest to crickets,namibian.com.na
2020-05-07 10:34:28,Africa disease control body rejects Tanzania assertion that coronavirus tests are faulty,lifesly.com
2020-05-08 13:55:14,ABS-CBN petition vs NTC closure order to be raffled on Monday – SC,untvweb.com
2020-05-13 12:38:43,'Ambo' intensifies into a severe tropical storm as it nears Bicol,untvweb.com
2020-05-15 07:40:18,"Tigray State Will Hold Elections before October 10, 2020: TPLF Chairman",ezega.com
2020-06-01 07:35:08,380 distressed Filipinos from Kuwait to return home this week – DOLE,untvweb.com
2020-06-02 20:35:41,Livestream Barnard College's Corpse Flower Blooming,mentalfloss.com
2020-06-03 07:27:56,LHC bars NAB from arresting Shehbaz Sharif till June 17,brecorder.com
2020-06-09 00:47:12,Here's how to apply for govt's Kamyab Jawan Programme,brecorder.com
2020-06-12 11:38:05,Indian COAS’ statement an attempt to divert attention from protests against CAB: DG ISPR,brecorder.com
2020-06-13 14:28:11,"How to protect your WhatsApp data, FIA shares important tips",brecorder.com
2020-06-22 20:28:24,Addis' Innovative Approach to Continue Learning,africa.com
2020-06-24 07:20:27,DILG files complaint vs Olongapo mayor for violating quarantine protocols,untvweb.com
2020-06-25 03:06:40,QC gov't probes PWD ID card scam,untvweb.com
2020-06-25 22:57:14,Ethiopia get ready... Lee Kasumba will be landing there soon,capetalk.co.za
2020-06-26 12:58:22,telecom licenses,newbusinessethiopia.com
2020-06-26 12:58:23,Kandu Global Telecommunications,newbusinessethiopia.com
2020-06-26 12:58:30,Saudi Telecom Company,newbusinessethiopia.com
2020-06-29 13:16:55,"Brazil reports over 30,000 new COVID-19 cases as total rises over 1.34 million",untvweb.com
2020-06-30 08:16:28,World's most fertile woman with 44 children she's raising alone stopped from having more,standardmedia.co.ke
2020-06-30 11:25:49,Wanyama to distribute sanitizers to Mathare residents : The standard Sports,standardmedia.co.ke
2020-07-02 04:51:35,Fort Jesus ‘resurrects’ during SOYA Awards gala [Photos],standardmedia.co.ke
2020-07-06 08:20:51,Pep store burns down at Henties,namibian.com.na
2020-07-06 11:25:59,Taguig creates 'exercise safe zones' to monitor compliance with health and safety protocols,untvweb.com
2020-07-09 04:44:40,PSA: Bali Is Reopening To Tourists So You Can Finally Kick Back In A Villa Again,hit.com.au
2020-07-09 18:48:35,Netanyahu concedes Israel's economy reopened too quickly,ynetnews.com
2020-07-13 04:25:35,DOH fails to report Sunday's update on COVID-19 cases; cites 'significant volume of data',untvweb.com
2020-07-15 08:29:00,DOLE 'ready to extend' assistance to ABS-CBN workers affected by shutdown,untvweb.com
2020-07-17 10:34:37,State Bank Reduces Inter-Bank Cheque Clearing Time From 48 Hours to 3 Minutes Amid Lockdown,brecorder.com
2020-07-17 11:42:20,Govt finalizes new working hours for public offices,brecorder.com
2020-07-24 01:53:41,PhilHealth clarifies reports on alleged resignation of three execs,untvweb.com
2020-07-24 06:05:57,PhilHealth chief Morales tells resigned officer to back claim of 'widespread corruption',untvweb.com
2020-07-24 11:26:50,DILG reiterates: No mass gathering during 5th SONA,untvweb.com
2020-07-24 13:40:53,BI reminds Filipinos non-essential foreign travel is banned anew,untvweb.com
2020-07-29 08:17:25,Former Botswana president Ian Khama votes for opposition party,702.co.za
2020-07-29 14:04:52,Kidero son charged with storing and selling adulterated fuel,standardmedia.co.ke
2020-07-30 12:17:31,Hachalu Hundessa's father: 'He died standing for his people',bbc.com
2020-08-01 19:18:00,Private Hospitals Need Strategic Partnerships — Prof Akosa,modernghana.com
2020-08-01 20:35:13,"Ethiopia Coronavirus: 17,999 confirmed cases,7195 recoveries,284 deaths",borkena.com
2020-08-01 20:48:27,Coronavirus: Concerns raised over Ontario’s back-to-school plan,globalnews.ca
2020-08-01 21:35:32,Edgars temporarily closes Gweru branch after COVID-19 scare,thezimbabwemail.com
2020-08-01 21:54:00,Resurgence of single-use plastics amid coronavirus crisis has environmentalists worried,wlns.com
2020-08-01 22:05:00,The rise and fall of ANC power couple dubbed 'Walter and Albertina Sisulu of our time',timeslive.co.za
2020-08-01 22:46:00,"CHASI SUSPENDS GATA, BANS HIM FROM ZESA",newsdzezimbabwe.co.uk
2020-08-01 22:48:48,Trawler tragedy: Disaster averted just days before,odt.co.nz
2020-08-01 23:06:13,"LILLEY: For Trudeau, Morneau and Kielburgers, apparently rules don't apply",torontosun.com
2020-08-01 23:18:50,Police start with soft approach first,thestar.com.my
2020-08-01 23:54:06,'It's the right time to invest',thestar.com.my
2020-08-02 00:11:15,Tanzania: Pccb Saves 170m/ - From Theft in Rukwa,allafrica.com
2020-08-02 00:14:00,"Ismaila Isa Funtua, OFR, mni(1942-2020)",vanguardngr.com
2020-08-02 00:16:00,Before corruption kills Nigeria,vanguardngr.com
2020-08-02 00:41:51,Masks face some resistance in Edmonton on first day of bylaw,edmontonjournal.com
2020-08-02 01:18:45,COVID-19 Update: Public adapts to new mandatory masks on first day | Three positive tests now linked to Catholic summer school,calgaryherald.com
2020-08-02 01:30:00,Fast-moving river thwarts would-be rescuer's bid to save drowning men,ottawacitizen.com
2020-08-02 02:42:00,Singapore: Police arrest chief priest of famous temple for CBT involving missing gold ornaments,thestar.com.my
2020-08-02 02:45:44,Police name man who died in Whakatāne motorcycle crash,nzherald.co.nz
2020-08-02 03:00:00,Election 2020: Waitaki candidate Daniel Shand says he doesn't know anything about politics,nzherald.co.nz
2020-08-02 03:06:39,Face masks are now strongly recommended in NSW as state enters 'critical' stage of pandemic,sbs.com.au
2020-08-02 03:30:00,"Police find wandering 2 year-old child in Anambra, calls for identification",vanguardngr.com
2020-08-02 04:07:00,Police officer injured after driver fails to stop near Huntly,i.stuff.co.nz
2020-08-02 04:42:04,'I'll give it a go': Waitaki candidate says he knows nothing about politics,odt.co.nz
2020-08-02 04:45:00,UK weather forecast: Britain braces for Sunday WASHOUT as torrential rain hits,express.co.uk
2020-08-02 05:05:42,Magnitude 6.4 quake rocks Cotabato City -- Phivolcs – The Manila Times,manilatimes.net
2020-08-02 05:10:55,"Troops kill 80, rescue 17 in anti-banditry operations in N’West",thenationonlineng.net
2020-08-02 05:23:00,NewsdzeZimbabwe: WHY I FIGHT WITH CHAMISA : MWONZORA,newsdzezimbabwe.co.uk
2020-08-02 05:37:28,Have your say: Is New Zealand heading towards a dirty election?,newshub.co.nz
2020-08-02 05:47:03,Azmin positive his faction adds to Muafakat Nasional strength,themalaysianinsight.com
2020-08-02 05:53:00,Tests reveal increase in COVID-19 clusters in Jakarta's houses of worship - The Jakarta Post,thejakartapost.com
2020-08-02 05:56:00,NewsdzeZimbabwe: SHUT DOWN CONTINUES,newsdzezimbabwe.co.uk
2020-08-02 06:22:00,KL-Karak Highway users advised not to perform prayers on emergency lane,thestar.com.my
2020-08-02 06:38:59,Eid-ul-Adha celebrations continue on second day during COVID-19 pandemic,thenews.com.pk
2020-08-02 06:47:00,Israeli police investigate footage of men with M-16 cruising through Eilat,ynetnews.com
2020-08-02 07:00:00,Nicky Wagner argues National's Vaping Bill amendment will improve 'very poor' legislation,newshub.co.nz
2020-08-02 07:06:00,Otjiwarongo businesses support Twaloloka victims,namibian.com.na
2020-08-02 07:25:52,Akua Denteh: Last 'witch' to be murdered in Ghana?,ghanaweb.com
2020-08-02 07:31:00,ANC’s Boy Mamabolo to face disciplinary process after threatening to shoot journalist,citizen.co.za
2020-08-02 07:34:16,Covid-19 and Pakistan's raging NCD crisis - Pakistan - DAWN.COM,dawn.com
2020-08-02 07:36:00,Kuching no longer Covid-19 red zone after local transmissions drop below 40 cases,thestar.com.my
2020-08-02 07:37:58,Tuan Ibrahim urges states to follow Pahang in promoting use of Jawi,malaysiakini.com
2020-08-02 07:53:26,Health protocols must be implemented in tourist destinations: expert,en.antaranews.com
2020-08-02 08:06:00,Zesa boss suspended over graft allegations,bulawayo24.com
2020-08-02 08:09:32,Colonel Mugwisi buried,bulawayo24.com
2020-08-02 08:09:32,Woman commits suicide over sadza,bulawayo24.com
2020-08-02 08:18:00,SERAP seeks court order make Buhari publish details of govt loans since 2015,vanguardngr.com
2020-08-02 08:23:00,No need to obtain police permits for travelling out of S'wak - SDMC,theborneopost.com
2020-08-02 08:26:20,"Indonesia reports 1,519 new coronavirus infections, 43 deaths | News | AM 650 WNMT",wnmtradio.com
2020-08-02 08:28:00,"Indonesia reports 1,519 new coronavirus infections, 43 deaths",news.yahoo.com
2020-08-02 08:31:00,NRZ top managers fired,bulawayo24.com
2020-08-02 08:42:00,Shutdown continues amid tension,bulawayo24.com
2020-08-02 08:48:45,"Ethiopia: 'I Will Never Succumb to the Destructive Plots of Riot Exporters, for My Country Is My Alpha and Omega'",allafrica.com
2020-08-02 09:44:00,"Rings at the ready, but COVID-19 ruins couple's wedding plans ... again",theage.com.au
2020-08-02 09:50:07,Prudential Life funds three institutions in COVID-19 relief initiatives,myjoyonline.com
2020-08-02 09:51:54,"Killings: Buhari, El-Rufai have abandoned Southern Kaduna Christians – ECWA",dailypost.ng
2020-08-02 09:53:00,Metro cop burnt in Cape Town protest-linked petrol bombing,timeslive.co.za
2020-08-02 10:24:00,Lagos records steady decline in COVID-19 cases — first time in 2 months,thecable.ng
2020-08-02 10:55:00,Matt Evans arrested for alleged physical violence charges,gmanetwork.com
2020-08-02 11:02:21,Fishing lodge owner criticizes B.C. over order restricting access to Haida Gwaii,nationalpost.com
2020-08-02 11:10:00,Sinn Féin tops latest opinion poll with Fine Gael nipping at its heels,thejournal.ie
2020-08-02 11:35:33,Ga East Municipal Clamps Down On Encroachers On Waterways In Massive Demolition,modernghana.com
2020-08-02 11:45:00,How Tawanda Muchehiwa was tourtered by CIOs,bulawayo24.com
2020-08-02 11:48:24,Coronavirus Australia: The Project host Lisa Wilkinson blasts ‘mixed messages’ over face masks,news.com.au
2020-08-02 12:07:48,"Brampton, Ont., resident dies after being pulled from Lake Huron in Grand Bend: OPP",globalnews.ca
2020-08-02 12:08:50,"Indonesia reports 1519 new coronavirus infections, 43 deaths",saltwire.com
2020-08-02 12:11:28,Covid-19 pandemic reduces patronage of dog meat in Builsa North District,myjoyonline.com
2020-08-02 12:14:49,"‘Seven years it took me’: Limerick man celebrates €500,000 EuroMillions win",irishtimes.com
2020-08-02 12:30:00,"Barossa Valley, Clare Valley and Gawler the focus of Messenger Community News’ latest digital-only masthead",adelaidenow.com.au
2020-08-02 12:30:06,Make your Raksha Bandhan sweet with this special ‘paan laddoo’ recipe,indianexpress.com
2020-08-02 12:40:16,"WASSCE starts on Monday, August 3",myjoyonline.com
2020-08-02 12:42:14,Mitumba traders urge Govt to clear way for resumption of trade,capitalfm.co.ke
2020-08-02 12:59:00,COVID-19 death toll rises to 69,chronicle.co.zw
2020-08-02 13:14:59,You concentrate on fake leaked WASSCE question paper at your own peril - GES to candidates,myjoyonline.com
2020-08-02 13:19:53,'We are tired of being abused' – Sikhala,thezimbabwemail.com
2020-08-02 13:22:12,690 new COVID cases in Kenya as Deaths rise to 369,capitalfm.co.ke
2020-08-02 13:36:02,Hope for COVID-19 patients in Kenya as 58 more discharged,capitalfm.co.ke
2020-08-02 13:44:02,"Man who subjected minor maid to assault, electric shocks arrested in Dera Ghazi Khan",thenews.com.pk
2020-08-02 13:52:00,Dad says Pontins break lasted 5 minutes as he 'wouldn't have let his dog sleep there',mirror.co.uk
2020-08-02 13:54:00,Finance Ministry says it could take five years for economy to recover,timesofisrael.com
2020-08-02 13:57:11,At least 72 doctors die of COVID-19 in Indonesia,china.org.cn
2020-08-02 14:04:00,Man arrested following five burglaries and two attempted burglaries in Limerick City,thejournal.ie
2020-08-02 14:05:00,New data shows shortfall of 3000 social housing properties in Canberra prior to the coronavirus pandemic,canberratimes.com.au
2020-08-02 14:30:00,"Ontario reports 116 new coronavirus cases, 1 death as active cases continue to decline",globalnews.ca
2020-08-02 14:33:56,Lagos govt lists guidelines for reopening of schools on Monday,dailypost.ng
2020-08-02 14:35:00,Edgars Gweru branch shuts down after Covid -19 scare,chronicle.co.zw
2020-08-02 14:47:00,MAHERE : MY ARREST ORDEAL,newsdzezimbabwe.co.uk
2020-08-02 14:47:00,Cabinet approves NIS 4.2 billion plan for school year under coronavirus,timesofisrael.com
2020-08-02 14:51:55,Elevated levels of fecal bacteria prompts water quality advisories at four Alberta lakes,edmontonjournal.com
2020-08-02 14:55:02,ANC divided over integrity committee's findings | Citypress,news24.com
2020-08-02 14:56:51,Sachin Pilot must have conversation first: Congress on whether rebel leader can return,indianexpress.com
2020-08-02 15:08:00,Court orders PM's son to 'cease harassing' protest leaders,ynetnews.com
2020-08-02 15:08:16,SERAP Seeks Court Order to Compel Buhari to Publish Details of FG Loans,thisdaylive.com
2020-08-02 15:10:00,BBC Weather: Heatwave returns as 38C temperatures forecasted in Europe after thunderstorms,express.co.uk
2020-08-02 15:15:13,Amherst police arrest Christopher McKay under Canada-wide warrant,globalnews.ca
2020-08-02 15:19:15,Prudential Life Funds Three Institutions In COVID-19 Relief Initiatives,peacefmonline.com
2020-08-02 15:24:00,Ethiopia set to conduct 200000 coronavirus tests – New Business Ethiopia,newbusinessethiopia.com
2020-08-02 15:27:11,How apps like WhatsApp are changing Zimbabwe talk radio,thezimbabwemail.com
2020-08-02 15:29:05,Coronavirus | India eases quarantine rules for international travellers,thehindu.com
2020-08-02 15:31:00,POLL: BBC asks to see pensioners' bank statements - Would you be happy to provide them?,express.co.uk
2020-08-02 15:31:28,"Pupils can collect food from nearest school, says education dept",enca.com
2020-08-02 15:37:51,Australian Idol star Anthony Callea lambasts 'deplorable' Melburnians for wearing masks incorrectly,dailymail.co.uk
2020-08-02 15:38:38,'Blown away' by response to wool petition,odt.co.nz
2020-08-02 15:44:00,Man charged after car hijacked on Dublin's Capel Street,thejournal.ie
2020-08-02 15:44:41,"CHRAJ, ARAP, holds workshop on validation of 2019 Anti-Corruption Report",myjoyonline.com
2020-08-02 15:46:00,Met Office weather forecast for Wales as temperatures could hit 30°C next weekend,walesonline.co.uk
2020-08-02 15:47:00,Former SP leader Amar Singh's mortal remains brought to Delhi from Singapore,timesnownews.com
2020-08-02 15:48:00,'Unacceptable at best of times': Gardaí break up crowded Co Clare party in Kilkee,irishexaminer.com
2020-08-02 15:55:00,"Ontario reports 116 new COVID-19 cases, slight decrease from Saturday",cbc.ca
2020-08-02 16:24:00,"GOP convention in Charlotte closed to press, portions will be livestreamed",cnn.com
2020-08-02 16:24:00,Duterte agrees to P10k to P15k sickness benefit for all health workers with COVID-19,gmanetwork.com
2020-08-02 16:27:19,Nasarawa police vow to fish out district head's killers,punchng.com
2020-08-02 16:29:00,New homes to get ‘automatic’ planning permission approval to speed-up building,thesun.co.uk
2020-08-02 16:38:36,Man stabbed to death in Kamloops,globalnews.ca
2020-08-02 16:43:02,R70bn IMF loan a 'grievous mistake' - SACP,news24.com
2020-08-02 16:49:00,Desperate search for missing kayaker after boat and paddle wash up on beach in Brighton,thesun.co.uk
2020-08-02 16:51:02,"Metro Manila, 4 other provinces revert to MECQ",sunstar.com.ph
2020-08-02 16:57:31,"Abia: Ikpeazu sacks commissioner, LG chairmen",dailypost.ng
2020-08-02 17:00:00,"Ethiopia Coronavirus Cases Reach 19,289",tadias.com
2020-08-02 17:07:00,Norfolk County OPP investigate incident in Simcoe,kitchener.ctvnews.ca
2020-08-02 17:25:29,Furious locals slam nightclub bosses after venue became first in UK to reopen,dailymail.co.uk
2020-08-02 17:31:00,Pakistani family creates foundation honouring daughter killed in US shooting,geo.tv
2020-08-02 17:35:07,Roundup: Ethiopia launches COVID-19 testing campaign amid widespread call to curb rapid infection rate,china.org.cn
2020-08-02 17:36:09,"5 killed, 3 injured in Mpumalanga head-on collision",news24.com
2020-08-02 17:40:08,Namibia explains IMF loan rationale,southerntimesafrica.com
2020-08-02 17:47:00,IMF loan was a big mistake – SACP,citizen.co.za
2020-08-02 18:00:00,"Concerns grow as Jakarta hospitalizations increase - Mon, August 3 2020",thejakartapost.com
2020-08-02 18:03:19,One person dies following dirt bike crash in Auckland,tvnz.co.nz
2020-08-02 18:22:30,Sophia Akuffo Commends Use Of Home-Grown Talent In Construction Of Ghana’s First Infectious Disease Centre,modernghana.com
2020-08-02 18:38:10,Taxi driver who scooped €500k on the EuroMillions says win can be traced back to deathbed chat with mum,thesun.ie
2020-08-02 18:42:42,Health experts slam calls for reintroduction of hard lockdown rules in Gauteng,iol.co.za
2020-08-02 18:43:49,Covid-19: Gauteng's Sunday figures not released due to delay in validating recoveries,news24.com
2020-08-02 18:49:14,"Up to €441,000 worth of drugs seized in Clonsilla",rte.ie
2020-08-02 19:02:00,Witnesses heard vehicle speeding away after Maple Ridge shooting,bc.ctvnews.ca
2020-08-02 19:07:00,Namibia records more recoveries,informante.web.na
2020-08-02 19:10:00,"Major Dublin drugs seizure recovers €441,000 of cocaine and cannabis",thejournal.ie
2020-08-02 19:15:00,"D.C. pastor tests positive for coronavirus, as health officials struggle to stop its spread",washingtonpost.com
2020-08-02 19:27:00,"Why Gemade, Dogara returned to APC – Spokesman",vanguardngr.com
2020-08-02 19:29:00,Illegal house party causes chaos as 160 guests party till 3am without social distancing or wearing masks in,thesun.co.uk
2020-08-02 19:31:00,Arrested activists granted bail,pazimbabwe.com
2020-08-02 19:31:00,Befitting honour for hero,pazimbabwe.com
2020-08-02 19:31:00,Shiri: The fearless liberator and hardworker,pazimbabwe.com
2020-08-02 19:33:31,Golden Ears Park reopened after ’emergency situation’,globalnews.ca
2020-08-02 19:37:50,PDM supports 'censored' reporter,namibian.com.na
2020-08-02 19:47:33,Government slammed as 'most anti-landlord in history' despite rising house prices,newshub.co.nz
2020-08-02 19:49:00,"Sask. reports 8 new cases of COVID-19, record testing",regina.ctvnews.ca
2020-08-02 19:58:00,Attack-dog Anthony Albanese leashes himself to Daniel Andrews’ precarious fate,theaustralian.com.au
2020-08-02 20:02:00,How many coronavirus cases are in your area? Use our tool to find out,telegraph.co.uk
2020-08-02 20:05:00,Fishing lodge owner criticizes B.C. over order restricting access to Haida Gwaii,vancouverisland.ctvnews.ca
2020-08-02 20:07:00,"COVID-19 in Sask.: 18 in hospital, 8 new cases reported on Sunday",cbc.ca
2020-08-02 20:15:00,Younger people living in Melbourne aged care homes fear for their safety as coronavirus spreads,abc.net.au
2020-08-02 20:28:08,"Woman charged with murder after death of 29-year-old man in St. Paul, Alberta",globalnews.ca
2020-08-02 20:29:46,Inmate at detention centre tests positive for COVID-19,ottawacitizen.com
2020-08-02 20:40:00,Sunday Scrum: WE controversy continues as Trudeau testifies,cbc.ca
2020-08-02 20:44:12,"CAN hails reopening, warns churches against complacency",thenationonlineng.net
2020-08-02 20:50:00,"In the four days before Brontë's suicide, her parents say emergency workers missed four chances to save her life",abc.net.au
2020-08-02 21:01:43,"Nurses give strike notice, protest hiring of retirees",standardmedia.co.ke
2020-08-02 21:22:00,Coronavirus: Jacinda Ardern says Victoria outbreak pushes trans-Tasman bubble well into the future,i.stuff.co.nz
2020-08-02 21:23:40,Colleges reverse course on reopening as pandemic continues,bostonglobe.com
2020-08-02 21:26:00,"NSHA warns of possible COVID-19 exposure on flight, playground",atlantic.ctvnews.ca
2020-08-02 21:33:00,Ethiopians celebrate progress in building dam on Nile River,ksn.com
2020-08-02 21:47:00,Leaky luxury apartments case costs Tauranga City Council $1.5 million in legal fees,stuff.co.nz
2020-08-02 21:47:11,Teaching unions urged to 'stop playing political power games',dailymail.co.uk
2020-08-02 21:53:25,"Kano Exco Okays JAMB Centres For Five Emirates, ICT Council",channelstv.com
2020-08-02 21:55:00,Panic as Covid-19 suspect dies,chronicle.co.zw
2020-08-02 22:00:00,New fast response cars to replace police's current fleet by 2024,tnp.sg
2020-08-02 22:04:00,Boat Mishaps: PDP asks Sanwo-Olu to sack LASWA boss,vanguardngr.com
2020-08-02 22:12:44,Naana Opoku-Agyemang cannot be ignored in run-up to December polls – Ebo Hinson,myjoyonline.com
2020-08-02 22:14:00,Sunday storms affect search for missing fisherman on Ottawa River,ottawa.ctvnews.ca
2020-08-02 22:16:03,Call to axe Kahui Ako scheme and redirect funding,nzherald.co.nz
2020-08-02 22:26:00,COMMENT | Tears won't flow for the fallen leader,m.malaysiakini.com
2020-08-02 22:27:43,Sydney Fitness First is closed as its exposed to coronavirus while four more Woolworths stores close,dailymail.co.uk
2020-08-02 22:32:00,Coronavirus: Parents desperate to get their toddler back from India,stuff.co.nz
2020-08-02 22:32:00,"Pub owner who spent up to €40,000 on preparations says all bars must be allowed to open next week",irishmirror.ie
2020-08-02 22:40:27,"Highly visible wildfire ignites in West Kelowna, B.C.",globalnews.ca
2020-08-02 22:44:00,MPR Speaker Praises Bali's Efforts to Boost Economic Recovery,en.tempo.co
2020-08-02 22:44:00,"York police searching for missing woman, 61, last seen in Aurora",cbc.ca
2020-08-02 22:46:41,"Man killed, another wounded in shootings: York Regional Police",torontosun.com
2020-08-02 22:47:31,Rotorua teacher Val Cooney censured for serious misconduct after incidents with two students,nzherald.co.nz
2020-08-02 22:52:50,Stigma remains rife on C19,herald.co.zw
